Login;Datum;Beginn;Ende;Pause_Minuten;Stunden
demo-dup-01;01.06.2026;;;;8
demo-dup-01;02.06.2026;07:30;16:30;30;
demo-dup-01;03.06.2026;08:00;16:30;30;
demo-dup-01;04.06.2026;07:30;17:00;30;
demo-dup-01;05.06.2026;;;;8
demo-dup-01;08.06.2026;07:30;16:30;30;
demo-dup-01;09.06.2026;08:00;17:00;30;
demo-dup-01;10.06.2026;07:30;16:30;30;
demo-dup-01;11.06.2026;;;;8
demo-dup-01;12.06.2026;07:30;17:00;30;
demo-dup-01;15.06.2026;08:00;16:30;30;
demo-dup-01;16.06.2026;07:30;16:30;30;
demo-dup-01;17.06.2026;;;;8
demo-dup-01;18.06.2026;07:30;16:30;30;
demo-dup-01;19.06.2026;08:00;16:30;30;
demo-dup-01;22.06.2026;07:30;17:00;30;
demo-dup-01;23.06.2026;;;;8
demo-dup-01;24.06.2026;07:30;16:30;30;
demo-dup-01;25.06.2026;08:00;17:00;30;
demo-dup-01;26.06.2026;07:30;16:30;30;
demo-dup-01;29.06.2026;;;;8
demo-dup-01;30.06.2026;07:30;17:00;30;
demo-dup-01;01.07.2026;08:00;16:30;30;
demo-dup-01;02.07.2026;07:30;16:30;30;
demo-dup-01;03.07.2026;;;;8
demo-dup-01;06.07.2026;07:30;16:30;30;
demo-dup-01;07.07.2026;08:00;16:30;30;
demo-dup-01;08.07.2026;07:30;17:00;30;
demo-dup-01;09.07.2026;;;;8
demo-dup-01;10.07.2026;07:30;16:30;30;
demo-dup-01;13.07.2026;08:00;17:00;30;
demo-dup-01;14.07.2026;07:30;16:30;30;
demo-dup-01;15.07.2026;;;;8
demo-dup-01;16.07.2026;07:30;17:00;30;
demo-dup-01;17.07.2026;08:00;16:30;30;
demo-dup-01;20.07.2026;07:30;16:30;30;
demo-dup-01;21.07.2026;;;;8
demo-dup-01;22.07.2026;07:30;16:30;30;
demo-dup-01;23.07.2026;08:00;16:30;30;
demo-dup-01;24.07.2026;07:30;17:00;30;
